,province,specific,general,year,gdp,fdi,rnr,rr,i,fr,reg,it
0,Anhui,147002.0,,1996,2093.3,50661,0.0,0.0,0.0,1128873,East China,631930
1,Anhui,151981.0,,1997,2347.32,43443,0.0,0.0,0.0,1356287,East China,657860
2,Anhui,174930.0,,1998,2542.96,27673,0.0,0.0,0.0,1518236,East China,889463
3,Anhui,285324.0,,1999,2712.34,26131,,,,1646891,East China,1227364
4,Anhui,195580.0,32100.0,2000,2902.09,31847,0.0,0.0,0.0,1601508,East China,1499110
5,Anhui,250898.0,,2001,3246.71,33672,0.0,0.0,0.0,1672445,East China,2165189
6,Anhui,434149.0,66529.0,2002,3519.72,38375,0.0,0.0,0.0,1677840,East China,2404936
7,Anhui,619201.0,52108.0,2003,3923.11,36720,0.0,0.0,0.0,1896479,East China,2815820
8,Anhui,898441.0,349699.0,2004,4759.3,54669,0.0,0.0,0.0,,East China,3422176
9,Anhui,898441.0,,2005,5350.17,69000,0.0,0.0,0.324324324,,East China,3874846
10,Anhui,1457872.0,279052.0,2006,6112.5,139354,0.0,0.0,0.324324324,3434548,East China,5167300
11,Anhui,2213991.0,178705.0,2007,7360.92,299892,0.0,0.0,0.324324324,4468640,East China,7040099
12,Beijing,165957.0,,1996,1789.2,155290,,,,634562,North China,508135
13,Beijing,165957.0,,1997,2077.09,159286,0.0,0.0,0.6,634562,North China,569283
14,Beijing,245198.0,,1998,2377.18,216800,0.0,0.0,0.53,938788,North China,695528
15,Beijing,388083.0,,1999,2678.82,197525,0.0,0.0,0.53,,North China,944047
16,Beijing,281769.0,188633.0,2000,3161.66,168368,0.0,0.0,0.53,1667114,North China,757990
17,Beijing,441923.0,,2001,3707.96,176818,0.0,0.0,0.53,2093925,North China,1194728
18,Beijing,558569.0,280277.0,2002,4315.0,172464,0.0,0.0,0.53,2511249,North China,1078754
19,Beijing,642581.0,269596.0,2003,5007.21,219126,0.0,0.794871795,0.0,2823366,North China,1426600
20,Beijing,1009936.0,309025.0,2004,6033.21,308354,0.0,0.794871795,0.0,,North China,1644601
21,Beijing,1009936.0,,2005,6969.52,352638,0.0,0.794871795,0.0,,North China,1547410
22,Beijing,1315102.0,405966.0,2006,8117.78,455191,0.0,0.794871795,0.0,4830392,North China,1782317
23,Beijing,752279.0,1023453.0,2007,9846.81,506572,0.0,0.794871795,0.0,14926380,North China,1962192
24,Chongqing,,,1996,1315.12,21878,,,,,Southwest China,176802
25,Chongqing,,,1997,1509.75,38675,,,,,Southwest China,383402
26,Chongqing,163133.0,,1998,1602.38,43107,,,,486185,Southwest China,535036
27,Chongqing,238133.0,,1999,1663.2,23893,,,,527163,Southwest China,733232
28,Chongqing,,,2000,1791.0,24436,,,,,Southwest China,1022148
29,Chongqing,245440.0,,2001,1976.86,25649,,,,712173,Southwest China,1391668
30,Chongqing,311770.0,41907.0,2002,2232.86,19576,,,,762806,Southwest China,1906968
31,Chongqing,335715.0,18700.0,2003,2555.72,26083,,,,929935,Southwest China,1778125
32,Chongqing,568835.0,97500.0,2004,3034.58,40508,,,,,Southwest China,2197948
33,Chongqing,568835.0,,2005,3467.72,51600,,,,,Southwest China,2460625
34,Chongqing,833423.0,150000.0,2006,3907.23,69595,0.09677419400000001,0.0,0.0,1762409,Southwest China,3124234
35,Chongqing,1791403.0,447900.0,2007,4676.13,108534,0.09677419400000001,0.0,0.0,4427000,Southwest China,3923569
36,Fujian,152281.0,,1996,2484.25,407876,0.0,0.0,0.6,1293197,East China,612775
37,Fujian,164494.0,,1997,2870.9,419666,0.0,0.0,0.0,1466678,East China,653250
38,Fujian,202488.0,,1998,3159.91,421211,0.0,0.0,0.0,1700221,East China,695447
39,Fujian,270986.0,,1999,3414.19,402403,0.0,0.0,0.0,1893713,East China,770283
40,Fujian,142650.0,71807.0,2000,3764.54,343191,0.0,0.0,0.0,2110577,East China,819028
41,Fujian,138870.0,,2001,4072.85,391804,0.22,0.3,0.0,2447877,East China,911798
42,Fujian,137190.0,59263.0,2002,4467.55,383837,0.22,0.3,0.0,2373047,East China,1184990
43,Fujian,148812.0,68142.0,2003,4983.67,259903,0.0,0.0,0.3,2648861,East China,1364980
44,Fujian,222445.0,177255.0,2004,5763.35,474801,0.0,0.0,0.3,,East China,1811810
45,Fujian,222445.0,,2005,6554.69,260800,0.4,0.0,0.0,,East China,1680805
46,Fujian,397517.0,149549.0,2006,7583.85,322047,0.4,0.0,0.0,4830320,East China,2135224
47,Fujian,753552.0,317700.0,2007,9248.53,406058,0.4,0.0,0.0,6994577,East China,2649011
48,Gansu,118479.0,,1996,722.52,9002,0.5555555560000001,0.0,0.0,347337,Northwest China,526391
49,Gansu,148528.0,,1997,793.57,4144,0.5555555560000001,0.0,0.0,382787,Northwest China,573905
50,Gansu,183607.0,,1998,887.67,3864,0.0,0.5,0.0,442047,Northwest China,714621
51,Gansu,277391.0,,1999,956.32,4104,0.0,0.153846154,0.0,487184,Northwest China,918866
52,Gansu,223984.0,58533.0,2000,1052.88,6235,0.0,0.153846154,0.0,505196,Northwest China,1258100
53,Gansu,254373.0,,2001,1125.37,7439,0.0,0.13,0.0,565179,Northwest China,1705110
54,Gansu,337894.0,129791.0,2002,1232.03,6121,0.0,0.13,0.0,597159,Northwest China,1898911
55,Gansu,398560.0,160599.0,2003,1399.83,2342,,0.0,0.13,599948,Northwest China,2114373
56,Gansu,600186.0,387891.0,2004,1688.49,3539,0.0,0.0,0.128205128,,Northwest China,2781260
57,Gansu,600186.0,,2005,1933.98,2000,0.0,0.0,0.128205128,,Northwest China,3094410
58,Gansu,833430.0,516342.0,2006,2277.35,2954,0.0,0.0,0.128205128,924080,Northwest China,3847158
59,Gansu,2010553.0,1039400.0,2007,2703.98,11802,,0.0,1.05,1909107,Northwest China,5111059
60,Guangdong,557241.0,,1996,6834.97,1162362,0.0,0.0,0.0,3674773,South Central China,1476990
61,Guangdong,637985.0,,1997,7774.53,1171083,0.0,0.0,0.0,4037205,South Central China,1523150
62,Guangdong,798003.0,,1998,8530.88,1201994,0.0,0.0,0.0,4897544,South Central China,1672646
63,Guangdong,988521.0,,1999,9250.68,1165750,0.0,0.0,0.0,5804606,South Central China,1789235
