,year,title,abstract,theme,China,Russia,War,President,US,Vietnam,Cold War,World War,Vietnam War,Korean War,Survey,Case Study,Trade,Humanitarian,fixed_effects,instrumental_variable,regression,experimental
0,2000,"""Institutions at the Domestic/International Nexus: the political-military  origins of military effectiveness, strategic integration and war","Civil-military relations are frequently studied as if they operate on two distinct levels of analysis. Some scholars emphasize an internal game concerned with leadership survival and regime transition.  Others focus on an external dimension of international conflict and war-fighting.  This project explores linkages across these two levels of analysis. I find that the armed forces' role in a state's internal politics affects the development of its military institutions, sometimes in ways counterproductive to the state's international relations. Among this study's most provocative claims is that those states most prone to war, are often those least prepared to fight.
        At the project's core is a theory about how states develop different military institutions, and how those institutions affect their propensities to fight and win wars on the inter-state battlefield. Drawing on insights from the new-institutionalism and building-on extant principal-agent approaches, I reframe the issue of ""civilian control"" as a problem of institutional development. I argue that the military's position in a state's ruling coalition, and its internal unity (""military power"") affect its leaders' abilities to force concessions in bargaining over institutions. Underlying differences between political and military leaders over policy outcomes (""preference divergence"") fuel these disputes. Different configurations of military and political power and preferences yield different institutional settings. In chapter two of the study, I identify five distinct settings, distinguishing them according to the complexity and coherence of the rules and procedures observed in each, and whose preferences they privilege (military leaders, politicians or neither). 
        These institutions vitally shape processes of strategic assessment and review and hence the strategies political leaders pursue in inter-state relations. In chapter seven, I offer one of the first empirical tests of informational theories of war. As the repositories of information about their own and other states' military capabilities, military leaders and their agencies supply vital intelligence to political leaders. Active Competition, which I define as an institutional setting of high preference divergence and shared political-military power, produces biased information, heightening the propensity that political leaders will choose strategies that culminate in war. Inadequate review and assessment and military pressure can further complicate strategic decision-making. Thus, in settings of Latent Competition (low-preference divergence and shared power) complacency and poor institutionalization impede critical analysis.  These states are doomed to pursue military strategies at odds with their political goals, significantly undermining their leaders' abilities to defend against threats or realize their ambitions in the international arena. Finally, below the strategic level, a state's military institutions affect the organizational structures and leadership of the armed forces in preparing for war. In chapter three, I offer predictions for how the five ideal-typical institutional settings derived in chapter two affect states' propensities to integrate military strategy with political goals, to avoid war, and to win the wars they fight. 
        I test my hypotheses with a comprehensive longitudinal analysis of Egypt in the 1960s and 1970s, for which I rely on both primary sources (memoirs, interviews from two research trips) as well as the secondary literature. This case exhibits interesting variation in political-military relations over time. In addition, the Middle East is often neglected as a testing ground for theoretical political science. 
        In the volume's empirical chapters, I first trace the origins of Egypt's political-military institutions in two periods, 1961-67 and 1967-1981. From 1961 to 1967 I find that divergent preferences and ""shared"" power critically undermined the internal coordination and quality of the military organization, as well as coordination and assessment across the political and military arenas. Subsequent changes in the military's position in the coalition and its internal cohesion shifted the balance of political-military power.  President Sadat was able to exercise prerogatives over the military establishment unknown to Nasser in the mid-1960s, which facilitated dramatic improvements in Egypt's military effectiveness.        My study also offers new insight into the origins of the 1967 Arab-Israeli war, a war that no one anticipated in the spring of 1967, but that profoundly altered the borders and politics of the region. I argue that Egypt's military institutions undermined the quality and assessment of information about military capabilities. Nasser's ""demands"" of Israel in the May/June 1967 crisis, based in part on flawed estimates of the likely outcome of war, eclipsed the bargaining space available for peaceful settlement, prompting Israel's attack. Contesting cognitive and other explanations, I argue that Egypt's institutions are vital to understanding why Nasser, a seasoned and skilled political leader, pursued a war he was bound to lose. 
        A final chapter on Egypt illuminates the domestic political underpinnings of Anwar Sadat's ambitious grand strategy, including the country's 1979 peace treaty with Israel. Egypt's institutions in the late 1960s and early 1970s limited military influence over decision-making and other institutional prerogatives. The October 1973 war, with which Sadat signaled Israel and the superpowers his resolve to win back lost territories, could not have been launched without prior changes in the country's military institutions. Similarly, the success of the ensuing military disengagement agreements, the Camp David accords and the 1979 Egyptian-Israeli peace treaty depended on Sadat's ability to overrule dissenters in the military and, through his powers of appointment and dismissal, create a command willing and able to carry through his controversial initiatives.
        In addition to the Egypt cases, supplemental case studies were chosen to increase variation in my independent variables and introduce regional and temporal variation into the analysis. A British case (1902-1918) explores the improvements in political-military planning which rendered the country better prepared for the outbreak of the First World War in July 1914 than for any prior war in its history. The case then demonstrates how British military leaders used their political leverage over the Lloyd George government to force concessions over key strategic decisions during the Great War. A German case (1890-1914) underscores the pathological effects on war propensity of environments that lack fora for critical review and assessment. Through the information they provided to Austria about German preferences, Wilhelmine institutions heightened the country's propensity for war in July 1914.  A Pakistani case (1997-1999) explores how competition between political and military leaders rendered the state prone to destabilizing policies and war. In summer 1999, Pakistan came dangerously close to fighting a war against India, an adversary far superior in conventional forces. A Turkey case (1996-1999) shows how military dominance in decision-making inspired continuity and predictability in the country's military strategies. Interestingly, when a potentially explosive crisis with Syria flared in October 1998 over the latter's support for Kurdish rebels, the dispute was resolved peacefully, with just a smattering of commentary in the international press.
        This project makes numerous contributions to the academic and policy literature. It identifies new causal pathways between war and civil-military relations. Drawing on rationalist theories, it shows how the information military institutions provide to a state's own leaders about its and other states' capabilities, and to its adversaries about its preferences affect its war propensity. It adds to our knowledge of how states create fighting power, and how civil-military relations affect their performances on the battlefield. 
        For policy analysts, the project provides a benchmark for judging ""healthy"" civil-military relations, arguing that too much friction (yielding  alienation at the political-military apex) and too little (and hence complacency) are ""unhealthy."" The project speaks to contemporary policy and academic debates about the nature of the so-called ""rogue state"": the study illuminates the conditions under which civil-military relations render authoritarian states more or less dangerous to international peace and stability. Finally, the study offers an essential antidote to ""constitutional determinism."" It highlights the domestic conditions under which foreign civil-military institutions will ""take"" in newly democratizing countries. 
",IR scholarship,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2000,Born to Lose and Doomed to Survive: State Death and Survival in the International System,"Under what conditions do states die, or exit the international system?  This question is of key importance for international relations scholars and policymakers.  By understanding which states are more likely to die, we can assess the risks faced by states and predict which, if any, actions might pre-empt a state death.  Furthermore, since state death is usually violent, an analysis of past state deaths will help us identify potential instabilities and outbreaks of violence in the future.  
        I define state death as the loss of foreign policy making power to another state.   I argue that state death can be predicted by examining the level of threat facing a state.  States in danger zones – for example, states that are caught between two strong rivals – face dim prospects.  The probability that buffer states will be conquered or occupied is high.  Conversely, states in non-threatening environments – those, for example, in a world where the protection of territorial sovereignty is a widely-held norm – will probably not exit the system, and will almost certainly not exit the system violently.
        My argument challenges claims that lie at the heart of two competing paradigms in international relations scholarship.  Scholars from both approaches predict that state attributes – rather than state context – are most predictive of state survival and death.  Neorealists have argued that states must act as if they were rational, or they will be selected out of the system. Constructivists, on the other hand, assert that states that are perceived to be less “legitimate” will be most likely to die.  Neorealists and constructivists alike claim that the death rate of states is low; they take this claim to prove that states do behave as if they were rational, or that the international system has been socially constructed as a benign environment for states.
        Empirical analysis contradicts this conventional wisdom.  The death rate of states is not low.  Of 210 states from 1816 to the present, 69 (about 30%) have exited the international system, and most have exited in the wake of violence.  Furthermore, tests using original data that expand the Correlates of War list of members of the interstate system strongly indicate that context trumps state behavior or attributes.  Buffer states are in a very high risk group, while states that survive past 1945 face virtually no threats to their survival.  I argue that a norm protecting states’ territorial sovereignty is only entrenched after World War II, although it can be traced at least as far back as the founding of the League of Nations.  
        Does a post-1945 norm protecting states’ territorial sovereignty mean that the international system is less competitive today than formerly?  If we expand our definition of “death” to include regimes and leaders as well as states, we find that competitive international pressures seem to have been redirected away from states and toward regimes and leaders.  As the rate of violent state death has declined, the incidence of external replacement of regimes and leaders has increased.  This trend points to the key policy implication that publics should no longer equate their leaders or regimes with their states; the state is likely to survive beyond its parts.
        State death in the international system is a critically important subject that has not been examined previously.  My analysis of this question debunks the notion that state death is a rare event in international relations.  I also show that geography and environment are more determinative of state survival than state behavior or attributes.  These results hold significant theoretical value, but can also help us to evaluate the limits of power and to better examine a number of issues that pervade the post-Cold War world: the likelihood of war over territory, the importance of sovereignty, and the power of nationalism.

",IR scholarship,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,2000,The significance of “allegiance” in international relations,"My dissertation employs original and secondary survey research in answering conceptual, descriptive and causal questions about allegiance in international politics.  Hypothesizing that allegiance is not best understood in terms of “nationalism vs. internationalism,” I demonstrate the empirical coherence of five basic “levels” of allegiance (localism, patriotism, civilizationism, multiculturalism and universalism) as well as the differentiation of allegiance across issue areas (economics, politics, security and culture).  I compare these real-world “patterns” of allegiance with numerous ideal types discussed in the theoretical literature, paying particular attention to canonical and contemporary political philosophy.
        After considering whether various categories of allegiance are or are not ""salient,"" I discuss the more fundamental question of what people's allegiances actually are.  Along with attending to cross-national differentiation in allegiance, I pay particular attention to demographic predictors (e.g., gender, age, race, income, education and left-right orientation).  I uncover numerous findings that run counter to conventional wisdom.  
I next examine trends in allegiance over time.  Various authors have argued that national patriotism will soon give way to localism, regionalism, universalism, or something else.  I consider the extent to which each of these claims is supported by empirical evidence.  While the analysis of this section of the dissertation is particularly rudimentary, I offer my own hesitant predictions for the future of the nation-state. 
         Most interesting for scholars of international relations, however, may be my preliminary consideration of allegiance as a predictor of international outcomes – i.e., my attempt to test not only the “nationalism-war connection” but also the connection between conflict behavior and other modes of allegiance.  In the case of “localism,” notably, I attempt to predict not only inter-state but also intra-state conflict.  Although I turn up numerous statistically significant findings, my primary recommendation is for more detailed cross-national research.  (This should likewise aid in the analysis of allegiance as a predictor of economic, political and cultural “outcomes.”)
After linking my findings to a future agenda for opinion research in IR, I conclude the dissertation by showing how my account of allegiance relates to particular foreign policy issues. 
",IR scholarship,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2000,The significance of “allegiance” in international relations,"
This study revises prevailing interpretations of Franco-American relations during the arly 1960s that rest on an oversimplified premise of French resistance to U .S. hegemony. Current monographs focus excessively on personalities, alternately chastising French President Charles de Gaulle for nationalistic intransigence or John F. Kennedy for willfully imposing U.S. policies on Western Europe. This study employs a broad array of French archival sources, documents from U.S. government agencies, and British and West German materials. This comprehensive multinational approach demonstrates that the structure and dynamics of the Franco-American bilateral relationship were embedded in complex multilateral relationships. Difficulties between Kennedy and de Gaulle were the outcome of a series of mutually reinforcing strategic and economic dilemmas, driven by domestic agendas, and shaped by differing conceptions about the double containment of Germany, and the Soviet Union. Three primary questions--Berlin, European integration, international finance-- were linked in the minds of the Western leaders. Monetary issues became entangled with NATO strategy, Britain's EEC candidacy became enmeshed with nuclear sharing, and the on-going Berlin crisis served as a backdrop to issues. Kennedy's and de Gaulle's competing geostrategies were hemmed in by East-West crises, set against the difficulties posed by decolonization, and shaped by divergent domestic demands of their economies.
The larger historical significance of this study lies in three areas. Western expedients to prop up the tottering financial edifice of Bretton Woods were merely part of a series of ""fire extinguisher"" methods pursued intermittently from 1958 to the closing of the gold window in 1971. Franco-American disputes during the early 1960s also provide a window into the movement for European unity. Finally, although the Cold War is over, this analysis addresses critical strategic issues within the Western alliance that affected the intensity of the superpower conflict. This study reveals the key dynamics operating within NA TO over the handling of the Berlin Crisis, directing German security issues, and meeting national demands for nuclear weapons. Kennedy and de Gaulle's contrasting strategies for Western Europe, which ultimately stood at an impasse, reveal a more variegated and multipolar world in the early 1960s than previous scholars have depicted.
",Conflit Between States,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2000,"Truth-Telling and Mythmaking in Post-Soviet Russia: Historical Ideas, Mass Education, and Interstate Conflict","Can distorted and pernicious ideas about history exacerbate violent or potentially-violent conflict among states, and if so, how? What are the most likely sources of such ideas? Is there any way to prevent such ideas from emerging, or to dampen their more malevolent effects? This dissertation answers these questions by examining popular historical ideas in post-Soviet Russia and their impact on Russian foreign policy.It is commonly assumed that historical ideas serve only as fodder for propaganda, or to help political elites justify decisions already made rationally, consistent with structural constraints and strategic interests. This study provides significant support for the countervailing view: historical ideas and beliefs, in and of themselves, have a very real impact on political behavior. Especially pernicious historical myths that are commonly held by publics and elites can be an important source of interstate conflict. A long history of scholarly writing on nationalism assumes that distorted, mythologized history can be dangerous. However, we still don't understand exactly how pernicious ideas lead to interstate conflict, if at all. Discussions about the threat of nationalism and pernicious ideas have been based largely on folk theory or broad assertion. This study proposes a number of hypotheses on the malevolent effects of pernicious ideas that are empirically grounded in the recent experiences of post-Soviet Russia, and suggests ways to ameliorate those effects. Specifically, pernicious historical ideas are found to precipitate or exacerbate conflict in two general ways: The first is through ""emotional"" mechanisms, whereby pernicious myths instill resentment and animosity , and manifest grievances over real or perceived injustices. These feelings then lead to violent retaliation or demands for apologies, restitution, reparations or other symbolic gestures that raise tensions, or lead to confrontational or antagonistic policy choices. At best they reinforce existing animosity; at worst they precipitate hostilities. In either case, they increase the likelihood of deadly or potentially deadly conflict. The second way is through ""cognitive"" mechanisms. Here pernicious myths foster ethnic and nationalist stereotypes and negative or false images about others, or create assumptions and beliefs about international politics, the causes of war and peace, and one's own and other's national interests. By serving as a cognitive lens or filter through which information is processed and decisions are made, these images and assumptions -reflected in distorted and pernicious views of history--can cause significant national misperceptions that lead to confrontational or antagonistic policies. The study identifies popular views of history by systematically analyzing the entire catalog of Soviet and post-Soviet Russian history textbooks. It examines three cases of wars, conflicts and interventions that have been especially prone to Russian historical mythmaking: World War II; Soviet western interventions in 1939-40; and the Russo-Turkish wars of the 19th century. Comparison of these cases across and within Soviet and post-Soviet texts, and analysis of the ideological and institutional changes in education and textbook publishing, demonstrate that certain pernicious historical ideas and images are widely-held and deeply-ingrained among the Russian public and elite. Russia's portrayal of these wars and interventions--whether Russia is the victim or perpetrator of aggression, or whether events occurred in the Soviet past or more distant imperial period--is dominated by self-glorifying, self-exculpating, other-denigrating and victimization myths. An examination of recent Russian foreign policy behavior in two regions--the Baltic and the Balkans--illustrates how these historical ideas have shaped Russian images and assumptions that have precipitated and exacerbated conflict in those regions. This dissertation clarifies and extends arguments advanced in the theoretical literature on the sources of national misperceptions, as well as by constructivist theories of international relations. It also speaks directly to concerns about potential dangers of Russian nationalism.

",Conflict Between States,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,2000,"Building a Cape Fear Metropolis: Fort Bragg, Fayetteville, and the  Sandhills of North Carolina","My dissertation examines the cultural and economic impact of military bases in theAmerican South, 1898-1945, through a case study of Fort Bragg, Fayetteville, and the Sandhills region of North Carolina--in essence, the upper Cape Fear Valley. The significance of mydissertation comes from the emphasis on culture and society .Other studies, largely economic reports, have considered the impact of military facilities on communities. My work, however, examines how the quest for and economic impact of a base, both perceived and real, shaped the culture and society of a region. This dissertation is about the upper Cape Fear Valley as much as it is about a military post. The interaction of the land, the people, the military, and the base, with the resulting impact of the fort and region upon one another, and particularly the impact of the military on the surrounding culture, forms the central theme of this thesis. My work fits well into four historiographical currents: the general history of the New South, or the South since Reconstruction; southern economic history; urban history and the martial metropolis; and, the South's culture of militarism. While not discounting the broadert hemes of southern history since Reconstruction, I intend to ground this study in the historiography of southern economic history .This dissertation deepens historians' understanding of the diversity and complexity of the New South movement and demonstrates how and why towns actively pursued government largess as a vehicle for economic development in the late nineteenth and early twentieth centuries. Contrary to the political rhetoric of the 1890s, southern towns embraced federal spending in the quest for local economic growth. Fayetteville's leaders hoped to use federally  funded projects to encourage private sector initiatives. As a result, Fayetteville eventually replaced its market-driven economy with one based upon federal spending. The assumptions of this new economy have profoundly influenced economic decision-making in Cumberland County and the Sandhills during the twentieth century .This transformation (at the state level) has been well documented for the post- World War II Sunbelt era, but not for the pre-World War I period. Historians James Cobb and Bruce Schulman are certainly correct in their assessments of the ""selling of the South"" and the role of federal dollars in state economic development plans. However, neither scholar examines the precedent set at the turn of the century by small towns and communities throughout the former Confederate states. Evidence and not theory drives my work, although the theoretical assumptions of anthropologists, geographers, and sociologists have sharpened my thinking and have contributed to the interdisciplinary nature of my research. Readings in economic anthropology gave insight into non-capitalist systems. Geography forced me to think spatially and consider how and why the rhythms of life and pace of human interaction varied within the region under consideration. If scholars consider my work to be solely a work of military history, then I will have failed. The story of Fayetteville, the Sandhills, and Fort Bragg is more than military history. It is the history of the New South, of culture, of economic development, of urbanization, of the expansion of federal power. It is the history of a region trying to make something of itself, although not everyone in the region agreed with the plan. It is also the history of a region obsessed with its own history, both real and imagined. And lastly, it is a history of modern warfare and technology. Until the experience of World War I, the United States Army had little need for an artillery post that consumed 130,000 acres of sand and hills and assorted pine trees.",Domestic Military History,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6,2000,"The Glories and the Sadness: Shaping the national Memory of the First World War in Great Britain, Canada and Australia"," In my dissertation I compare the ways in which Britons, Canadians and Australians during the inter-war years imagined and rendered, within their respective cultures the experience of the  Great War.  My aim is to analyze the emergence in each country of  distinctive ""myths"" related to the nation's war experience and to locate such phenomena within the context of evolving conceptions of national identity.        The last 10-15 years have seen a growing interest among scholars in exploring the Great War as a cultural phenomenon.  For Great Britain, Canada and Australia there is currently a large body of scholarship that deals with the First World War as an event ""remembered"" within the nation's culture and/or collective consciousness.  However, no study has ever expressly compared how the memory of the Great War evolved in all three nations between 1914 and 1939.  These years were characterized by the development of nationally distinct memories of the war that belied obvious similarities between the Motherland and its dominions in terms of heritage and outlook.  This process marked a pivotal moment in the formation of each country's national identity.        In my work I establish that the inter-war years in Great Britain saw the emergence and eventual triumph of a narrative version of the war experience that emphasized the human, material, social and spiritual cost of the conflict.  In Canada and Australia, by contrast, the dominant narrative of the war focused on what was achieved in those years by the nation and its soldiers, rather than on what was lost in the process, despite the fact that the material cost of the war for each dominion was proportionally comparable to that experienced by Britain.  Basically, in Canada and Australia, the narrative of loss was successfully marginalized during the inter-war years, while in Britain it proved a compelling alternative to more positive, celebratory interpretations of the war experience.        Until now, almost all scholarship on the memory of the Great War in Britain has weighed in on the debate, initiated and embodied by Paul Fussell (The Great War and Modern Memory), over whether or not the First World War heralded a paradigm shift in western culture, from the romantic, ""traditional"" positivism of the 19th century to the ironic ""modern"" existentialism of the 20th century.  Like Fussell, those scholars interested in either supporting or refuting him typically draw their evidence from the works of individuals hailing from a narrow, elite, highly-literate spectrum of British society, without ever discussing the issues of class, racial and gender identity that helped shape not only their response to the experience of the Great War, but also the response of the British public to their interpretations of that experience.  Similarly, scholarship concerned with the memory of the war in the dominions generally stresses the role of the conflict in helping to create a sense of national identity, while ignoring the question of why criticism of this celebratory narrative was so muted within colonial culture.  In my dissertation I examine how the articulation and establishment of dominant ""national"" narratives of the war were decisively linked to developing understandings of British, Canadian and Australian identity.  In so doing I challenge the notions of both Fussell and his critics that the memory of the First World War necessarily either heralded the birth of the modern or confirmed the continuity of tradition. By focusing on the process through which that memory was constructed on a national level, I argue that the triumph of one or the other ideal within a society was the result of ideological contests within particular countries, and that the outcomes of these contests were contingent on a number of political, social and cultural factors.  I believe this interpretation to be more nuanced and balanced than any thus far presented by scholars of this topic.        While I analyze some of the same novels, poems, films and art previously mined by Fussell and other scholars, I venture beyond the boundaries of these traditional sources and look at a wide variety of cultural products designed to appeal to, or represent, the ""mainstream"" of British and dominion society: Text and imagery associated with war memorials and commemorative rituals, juvenile and other forms of ""popular"" literature, school textbooks, etc.  The memory of the First World War was not exclusively produced in the realm of ""high culture,"" and only by utilizing evidence drawn from a broader and more representative range of material is it possible to avoid presenting a fundamentally flawed interpretation of this phenomenon.",Culture,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,2000,What leads longstanding adversaries to engage in conflict resolution," This dissertation develops a socio-psychoanalytic model to help further ourunderstanding of this question.  Focusing on the case of Israel pursuingpeace talks with the PLO leading to the 1993 Oslo agreement, I argue that when a state's policies conflict with its self-image, over time, the polity experiences a 'cognitive-emotional dissonance' that leads policy makers to radically shift their state's foreign policy.  In the case of Israel, that country's actions through the Lebanon War and the Intifada, in which the state was cast as an 'aggressor' in the eyes of theinternational community and by significant components of Israeli society, led elites to experience a dissonance between their policy actions and the Israeli role-identity of what I term a 'defensive warrior.'  Extending an olive branch to the Palestinians enabled Israel to realign its policy stance with its self-image.",Culture / Peace Process,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2001,A School for the Nation: Military  Institutions and the Boundaries of Nationality,"Beginning in Europe in the latter half of the nineteenth century and continuing into the twentieth, the armed forces have enjoyed popularity among both scholars and state leaders as nation-defining devices. Yet the belief that the military has the capacity to redraw the boundaries of the surrounding political community is often asserted but rarely systematically explored. This dissertation lays out a theory of militaries as nation-builders: it examines whether, how, and when the military’s manpower policies shape the path and success of minorities’ struggles for effective citizenship. 
In contrast to individualist and apolitical models (notably, military socialization and the contact hypothesis), the dissertation’s theoretical approach is grounded in an awareness of the social networks in which individuals are embedded and of the political contest through which groups negotiate the definition of the nation, and it marries rationalist and discursive approaches to explain when and how the armed forces’ policies produce effective citizenship. First, minorities often face substantial uncertainty regarding the majority’s likely response to their citizenship demands, and the consequences of poor estimates may be severe. Under identifiable conditions, the military’s participation policies can prove a powerful signal that helps minorities overcome these informational chasms and shapes the goals, strategies, and timing of their political mobilization. Second, the discursive frame minorities deploy in part determines the effectiveness of such claims-making: when the discourse of “military sacrifice and just rewards” is resonant within the larger political culture, even small politically insignificant groups may be able to shape the political agenda. 
More broadly, this dissertation hopes to make several important contributions to the discipline of political science. First, it widens the scope of civil-military relations beyond the classic problematique that has dominated the literature. Second, recognizing that patterns of citizenship are one critical component constituting the boundaries of the national political community, it illustrates the value of an institutional approach to the nation—in contrast to those works that exclusively stress either individual choice or the apolitical exercise of the imagination. Finally, it seeks to demonstrate that culturalist and rationalist mechanisms are neither mutually exclusive nor merely complementary, but are more deeply intertwined.
",Military History,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2001,"The 'American Century' Army:  The Origins of the U.S. Cold War Army, 1949-1959","This dissertation covers the period 1949-1959 and has two primary purposes.  The first is to determine the nature of the creation of the U.S. Cold War Army during the period 1949 and 1953 by examining how senior Army leaders were able to fundamentally broaden the institution’s intellectual and historical framework of “preparedness” to design a blueprint for a new type of ground force that would be more adept to meet the challenges of the new nature of war imposed by the Cold War.  This “blueprint” was conceived well before the advent of the Korean War in 1950 and actually used to design the “Cold War Army” when the Korean War broke out.  The second aim addresses the nature of the historical anomaly that followed the Korean War (1950-1953), from 1954 to 1959, where for the first time in its history, the United States did not substantially disband a war-time Army force structure in accordance with its long standing post-war demobilization tradition.

This dissertation argues that the most important explanation for the Army’s remarkable and unprecedented build-up in the 1950s was that the generals of the Cold War Army recognized, before most political leaders, that the nature of war had changed.  Perhaps the most significant factor undergirding the generals’ success, one overlooked by many historians, was that the generals of the cold war did not make the Soviet military threat the Army’s sole raison d’être.  While the Red Army remained a key focus for the Army, the leaders of the Cold War Army successfully expanded the institution’s purpose to include “furthering and protecting” U.S. national interests, which, owing to America’s responsibilities after WWII for reestablishing a world order based of national sovereignty and a free market system, was global.  In other words, the confluence of an authentic threat and global extension of America’s national interests offered two subtle, closely wedded, but entirely different frameworks by which to design a militarily defensible purpose for revitalizing a ready peacetime army.  The army generals of the early cold war years exploited this understanding.  Thus the justification for the creation of the Cold War Army arose not only because of the Soviet military threat, but also apart from it.  “Furthering and protecting” vital national interests would eventually place the Cold War Army in dozens of locations around the world where no direct threat to the nation was apparent.

By 1959, the generals achieved their purpose.  The Army that emerged after 1959 marked the beginning of the “American Century’ Army and continued as the largest, costliest, and longest- serving peacetime Army in the history of the United States.  This transformation occurred primarily because of three extraordinary Army chiefs of staff: Generals J. Lawton Collins (1949-1953); Matthew B. Ridgway (1953-1955); and Maxwell D. Taylor (1955-1959).  Under their tenures, the institution’s prestige was restored and its purpose no longer undermined by the cost-saving, but militarily bankrupt, strategy of strategic air power.  To date, no comprehensive explanation exists to satisfactorily account for this phenomenon.

",Military History,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
